date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,GT_Index,market_share,market_share_pct,bev_growth_rate,bev_growth_rate_annual,growth_acceleration,cumulative_bev,adoption_velocity,market_momentum,month,quarter,is_march,is_september,is_plate_month,policy_regime,policy_change,policy_introduction,policy_reduction,policy_removal,policy_stable,months_since_policy_change,pre_2016,policy_active,post_policy,real_income_index,income_growth,inflation_rate,high_inflation,fuel_cost_advantage,fuel_price_normalized,high_fuel_prices,economic_stress,year,time_trend,time_trend_squared,covid_period,interest_momentum,interest_volatility,high_interest
2016-11-30,900,286600,0.0031402651779483,4977,5610.0,101.4,115.37,4500.0,-1.0780463383991614,0.0031402651779483,0.31402651779483,0.5,-0.25,1.2777777777777777,46532,0.599343780490707,1.5550177574283597,11,4,0,0,0,Medium_Grant,0.0,0,0,0,1,8.015768725361367,0,1,0,5532.544378698225,-0.0041026483026317395,1.0967098703888345,0,-0.017037142857142862,-0.8957672494057176,0,0,2016,71,5041,0,-1.3251392994569164,0.21094112203705878,0
2016-12-31,1800,280200,0.006423982869379,5107,5598.0,101.9,114.58,4500.0,-1.2606965421388108,0.006423982869379,0.6423982869379,1.0,-0.21739130434782605,0.5,48332,0.6062882249351516,1.5646109658936862,12,4,0,0,0,Medium_Grant,0.0,0,0,0,1,9.034165571616294,0,1,0,5493.621197252208,-0.007035313010028799,1.5952143569292199,0,-0.01726285714285715,-0.9456670463853358,0,0,2016,72,5184,0,-1.2235018710482006,0.22102861353964456,0
2017-01-31,1600,276500,0.0057866184448462,5237,5598.3333,101.4,118.61,4500.0,-0.8215065937159622,0.0057866184448462,0.57866184448462,-0.11111111111111116,0.7777777777777777,-1.1111111111111112,49932,0.6477536033570517,1.5174442672547823,1,1,0,0,0,Medium_Grant,0.0,0,0,0,1,10.052562417871222,0,1,0,5521.03875739645,0.004990799175952576,1.9095477386934734,0,-0.016111428571428575,-0.6911149174893106,0,0,2017,73,5329,0,-1.0534164914179784,0.2757417200924011,0
2017-02-28,1100,184500,0.0059620596205962,5355,5598.6667,102.1,120.16,4500.0,-0.5903766565493442,0.0059620596205962,0.59620596205962,-0.3125,1.2000000000000002,-0.20138888888888884,51032,0.658748973727422,1.5368820691066578,2,1,0,0,0,Medium_Grant,0.0,0,0,0,1,10.972404730617608,0,1,0,5483.512928501469,-0.006796878367265169,2.3046092184368705,0,-0.015668571428571434,-0.5932102525293012,0,0,2017,74,5476,0,-0.8908599308013727,0.3560060259992088,0
2017-03-31,3800,665600,0.0057091346153846,5486,5599.0,102.5,119.2,4500.0,-0.7947638815307945,0.0057091346153846,0.57091346153846,2.4545454545454546,0.31034482758620685,2.7670454545454546,54832,0.4632944282728766,1.1598639354002445,3,1,1,0,1,Medium_Grant,0.0,0,0,0,1,11.990801576872535,0,1,0,5462.4390243902435,-0.003843139313429944,2.2954091816367317,0,-0.015942857142857148,-0.6538479805045325,0,0,2017,75,5625,0,-0.7355490439320339,0.29099080099969304,0
2017-04-30,1200,252500,0.0047524752475247,5626,5631.0,102.9,117.41,4500.0,-0.738231763010819,0.0047524752475247,0.47524752475247,-0.6842105263157895,0.33333333333333326,-3.138755980861244,56032,0.4637481487810436,1.1403771259197613,4,2,0,0,0,Medium_Grant,0.0,0,0,0,1,12.976346911957949,0,1,0,5472.303206997084,0.0018058201771766758,2.6946107784431073,0,-0.01645428571428572,-0.7669120774583505,0,0,2017,76,5776,0,-0.7077907670303195,0.24446538065799378,0
2017-05-31,1500,288100,0.005206525511975,5771,5663.0,103.3,116.44,4500.0,-1.0942280163224118,0.005206525511975,0.5206525511975,0.25,0.875,0.9342105263157895,57532,0.49384074137363615,1.143819064773646,5,2,0,0,0,Medium_Grant,0.0,0,0,0,1,13.994743758212877,0,1,0,5482.090997095837,0.0017886052231605998,2.8884462151394397,0,-0.016731428571428578,-0.8281814484333243,0,0,2017,77,5929,0,-0.8757412202880088,0.24715368738551874,0
2017-06-30,2100,345800,0.0060728744939271,5911,5695.0,103.3,115.26,4500.0,-0.9155508502686872,0.0060728744939271,0.6072874493927101,0.3999999999999999,0.5,0.1499999999999999,59632,0.4646740747069695,1.1100409927675643,6,2,0,0,0,Medium_Grant,0.0,0,0,0,1,14.98028909329829,0,1,0,5513.068731848984,0.005650715168638465,2.6838966202783254,0,-0.017068571428571426,-0.9027153224028795,0,0,2017,78,6084,0,-0.9160035432006396,0.16981332836783208,0
2017-07-31,1400,263600,0.0053110773899848,6091,5700.0,103.2,113.87,4500.0,0.6369904860039731,0.0053110773899848,0.53110773899848,-0.33333333333333337,1.0,-0.7333333333333333,61032,0.47856296359585837,1.1313174157132537,7,3,0,0,0,Medium_Grant,0.0,0,0,0,1,15.99868593955322,0,1,0,5523.255813953488,0.0018478061130733359,2.5844930417495027,0,-0.017465714285714286,-0.9905136993670173,0,0,2017,79,6241,0,-0.45759612686237566,0.621178819923736,0
2017-08-31,1100,178800,0.006152125279642,6273,5705.0,103.8,115.69,4500.0,-0.4146240396729965,0.006152125279642,0.6152125279642,-0.2142857142857143,0.8333333333333333,0.11904761904761907,62132,0.47261058264347744,1.1214237483033713,8,3,0,0,0,Medium_Grant,0.0,0,0,0,1,17.017082785808146,0,1,0,5496.146435452794,-0.004908224318020293,2.874132804757168,0,-0.016945714285714286,-0.8755546734139741,0,0,2017,80,6400,0,-0.23106146797923718,0.6248769097730354,0
2017-09-30,2700,528600,0.0051078320090805,6448,5710.0,104.1,118.2,4500.0,-0.1848931906806097,0.0051078320090805,0.51078320090805,1.4545454545454546,0.0,1.668831168831169,64832,0.30215603718893197,0.7531848600983088,9,3,0,1,1,Medium_Grant,0.0,0,0,0,1,18.00262812089356,0,1,0,5485.110470701249,-0.0020079459092207097,2.9673590504450953,0,-0.016228571428571432,-0.7170122804787323,0,0,2017,81,6561,0,0.012491085216788683,0.6273607845485764,0
2017-10-31,1100,260700,0.0042194092827004,6701,5711.0,104.2,117.28,4500.0,-0.5356142889770403,0.0042194092827004,0.42194092827004,-0.5925925925925926,0.8333333333333333,-2.047138047138047,65932,0.317588135954364,0.7336767663871085,10,4,0,0,0,Medium_Grant,0.0,0,0,0,1,19.021024967148488,0,1,0,5480.806142034548,-0.0007847296220727662,2.964426877470361,0,-0.016491428571428574,-0.7751234364549963,0,0,2017,82,6724,0,-0.37837717311021574,0.6141708892128931,0
2017-11-30,1400,266300,0.0052572286894479,6948,5712.0,104.6,119.07,4500.0,-0.3876780469216775,0.0052572286894479,0.52572286894479,0.2727272727272727,0.5555555555555556,0.8653198653198653,67332,0.2986487420149701,0.7342882956464317,11,4,0,0,0,Medium_Grant,0.0,0,0,0,1,20.006570302233904,0,1,0,5460.803059273423,-0.00364966069639161,3.155818540433919,0,-0.015980000000000008,-0.6620593395011791,0,0,2017,83,6889,0,-0.3693951755264428,0.5189303399201748,0
2017-12-31,1700,253300,0.0067114093959731,7203,5713.0,104.9,119.91,4500.0,-0.7757840272590812,0.0067114093959731,0.6711409395973099,0.2142857142857142,-0.05555555555555558,-0.05844155844155852,69032,0.2331725515387796,0.7262465635338854,12,4,0,0,0,Medium_Grant,0.0,0,0,0,1,21.02496714848883,0,1,0,5446.139180171592,-0.002685297188465552,2.944062806673209,0,-0.015740000000000004,-0.6090013275228511,0,0,2017,84,7056,0,-0.5663587877192667,0.48799981746985194,0
2018-01-31,1100,265700,0.0041400075272864,7443,5734.3333,104.4,120.97,4500.0,-0.1471577089739529,0.0041400075272864,0.41400075272863995,-0.3529411764705882,-0.3125,-0.5672268907563024,70132,0.21302004609215652,0.728807272334132,1,1,0,0,0,Medium_Grant,0.0,0,0,0,1,22.043363994743757,0,1,0,5492.656417624521,0.00854132366324567,2.9585798816567976,0,-0.015437142857142858,-0.5420471695501992,0,0,2018,85,7225,0,-0.43687326105157087,0.2323023303867252,0
2018-02-28,900,182900,0.0049207217058501,7659,5755.6667,104.9,120.84,4500.0,-0.3893414881481916,0.0049207217058501,0.49207217058501,-0.18181818181818177,-0.18181818181818177,0.17112299465240643,71032,0.22391019760730804,0.725851722665444,2,1,0,0,0,Medium_Grant,0.0,0,0,0,1,22.963206307490143,0,1,0,5486.812869399428,-0.0010638838079044532,2.7424094025465307,0,-0.015474285714285711,-0.5502585285468449,0,0,2018,86,7396,0,-0.43742774146040886,0.23237927625884552,0
2018-03-31,3700,576200,0.0064213814647691,7898,5777.0,105.0,119.2,4500.0,-0.3999836580039971,0.0064213814647691,0.64213814647691,3.1111111111111107,-0.02631578947368418,3.2929292929292924,74732,0.27862400232111273,1.3631323988373616,3,1,1,0,1,Medium_Grant,0.0,0,0,0,1,23.98160315374507,0,1,0,5501.9047619047615,0.002750575400430222,2.4390243902439046,0,-0.015942857142857148,-0.6538479805045325,0,0,2018,87,7569,0,-0.3121609517087141,0.20714801717562908,0
2018-04-30,1600,269000,0.0059479553903345,8117,5763.0,105.4,120.72,4500.0,-0.926218194251762,0.0059479553903345,0.5947955390334501,-0.5675675675675675,0.33333333333333326,-3.6786786786786783,76332,0.2883442488834646,1.3594779801949406,4,2,0,0,0,Medium_Grant,0.0,0,0,0,1,24.967148488830485,0,1,0,5467.74193548387,-0.00620927258818349,2.4295432458697697,0,-0.015508571428571427,-0.5578382445437491,0,0,2018,88,7744,0,-0.5718477801346505,0.28877921405626716,0
2018-05-31,1700,294200,0.0057783820530251,8342,5749.0,105.8,125.28,4500.0,-0.7261905049807821,0.0057783820530251,0.5778382053025101,0.0625,0.1333333333333333,0.6300675675675675,78032,0.27271924888346455,1.3665984734213406,5,2,0,0,0,Medium_Grant,0.0,0,0,0,1,25.985545335085412,0,1,0,5433.8374291115315,-0.006200824174292019,2.420135527589551,0,-0.014205714285714294,-0.269809036661398,0,0,2018,89,7921,0,-0.684130785745514,0.2944358902339377,0
2018-06-30,2000,337200,0.0059311981020166,8560,5735.0,105.8,128.04,4500.0,-0.6415165861014073,0.0059311981020166,0.59311981020166,0.17647058823529416,-0.04761904761904767,0.11397058823529416,80032,0.2540917979030724,1.367607532367569,6,2,0,0,0,Medium_Grant,0.0,0,0,0,1,26.971090670170828,0,1,0,5420.604914933838,-0.0024352061228039013,2.420135527589551,0,-0.013417142857142864,-0.0954755687326072,0,0,2018,90,8100,0,-0.764641761777984,0.2795529680923264,0
2018-07-31,1400,266200,0.005259203606311,8892,5738.6667,105.8,127.2,4500.0,-0.5663300388481327,0.005259203606311,0.5259203606311,-0.30000000000000004,0.0,-0.4764705882352942,81432,0.25686957568085017,1.3621344243618383,7,3,0,0,0,Medium_Grant,0.0,0,0,0,1,27.989487516425754,0,1,0,5424.070604914934,0.0006393548387095827,2.519379844961245,0,-0.01365714285714286,-0.1485335807109343,0,0,2018,91,8281,0,-0.6446790433101076,0.20453532157306947,0
